timestamp,timestamp,penX,penY,robotHeading,heading,L_steps,R_steps,accX,accY,accZ,gyroX,gyroY,gyroZ,magX,magY,magZ,batt,isMoving,targetL,actualV,targetW,actualW
3701.0,3701.0,0.0,0.0,0.0,64.7,0,0,0.03,0.09,-0.99,3.85,-4.06,-2.8,-77.38,78.19,-48.36,0.0,False,0.0,0.0,0.0,0.0
3701.0,3701.0,0.0,0.0,0.0,64.7,0,0,0.03,0.09,-0.99,3.85,-4.06,-2.8,-77.38,78.19,-48.36,0.0,False,0.0,0.0,0.0,0.0
3701.0,3701.0,0.0,0.0,0.0,64.7,0,0,0.03,0.09,-0.99,3.85,-4.06,-2.8,-77.38,78.19,-48.36,0.0,False,0.0,0.0,0.0,0.0
3701.0,3701.0,0.0,0.0,0.0,64.7,0,0,0.03,0.09,-0.99,3.85,-4.06,-2.8,-77.38,78.19,-48.36,0.0,False,0.0,0.0,0.0,0.0
3721.0,3721.0,0.0,0.0,0.0,64.7,0,0,0.03,0.09,-1.0,3.85,-4.06,-2.73,-77.38,78.19,-48.36,0.0,False,0.0,0.0,0.0,0.0
3721.0,3721.0,0.0,0.0,0.0,64.7,0,0,0.03,0.09,-1.0,3.85,-4.06,-2.73,-77.38,78.19,-48.36,0.0,False,0.0,0.0,0.0,0.0
3721.0,3721.0,0.0,0.0,0.0,64.7,0,0,0.03,0.09,-1.0,3.85,-4.06,-2.73,-77.38,78.19,-48.36,0.0,False,0.0,0.0,0.0,0.0
3721.0,3721.0,0.0,0.0,0.0,64.7,0,0,0.03,0.09,-1.0,3.85,-4.06,-2.73,-77.38,78.19,-48.36,0.0,False,0.0,0.0,0.0,0.0
3741.0,3741.0,0.0,0.0,0.0,64.7,0,0,0.03,0.09,-0.99,3.78,-3.85,-2.87,-77.38,78.19,-48.36,0.0,False,0.0,0.0,0.0,0.0
3741.0,3741.0,0.0,0.0,0.0,64.7,0,0,0.03,0.09,-0.99,3.78,-3.85,-2.87,-77.38,78.19,-48.36,0.0,False,0.0,0.0,0.0,0.0
3741.0,3741.0,0.0,0.0,0.0,64.7,0,0,0.03,0.09,-0.99,3.78,-3.85,-2.87,-77.38,78.19,-48.36,0.0,False,0.0,0.0,0.0,0.0
3741.0,3741.0,0.0,0.0,0.0,64.7,0,0,0.03,0.09,-0.99,3.78,-3.85,-2.87,-77.38,78.19,-48.36,0.0,False,0.0,0.0,0.0,0.0
3761.0,3761.0,0.0,0.0,0.0,64.7,0,0,0.03,0.1,-0.99,3.92,-4.06,-2.59,-77.38,78.11,-48.13,0.0,False,0.0,0.0,0.0,0.0
3761.0,3761.0,0.0,0.0,0.0,64.7,0,0,0.03,0.1,-0.99,3.92,-4.06,-2.59,-77.38,78.11,-48.13,0.0,False,0.0,0.0,0.0,0.0
3761.0,3761.0,0.0,0.0,0.0,64.7,0,0,0.03,0.1,-0.99,3.92,-4.06,-2.59,-77.38,78.11,-48.13,0.0,False,0.0,0.0,0.0,0.0
3761.0,3761.0,0.0,0.0,0.0,64.7,0,0,0.03,0.1,-0.99,3.92,-4.06,-2.59,-77.38,78.11,-48.13,0.0,False,0.0,0.0,0.0,0.0
3761.0,3761.0,0.0,0.0,0.0,64.7,0,0,0.03,0.1,-0.99,3.92,-4.06,-2.59,-77.38,78.11,-48.13,0.0,False,0.0,0.0,0.0,0.0
3784.0,3784.0,0.0,0.0,0.0,64.86,0,0,0.03,0.09,-0.99,3.78,-4.13,-2.73,-77.73,78.11,-48.13,0.0,False,0.0,0.0,0.0,0.0
3784.0,3784.0,0.0,0.0,0.0,64.86,0,0,0.03,0.09,-0.99,3.78,-4.13,-2.73,-77.73,78.11,-48.13,0.0,False,0.0,0.0,0.0,0.0
3784.0,3784.0,0.0,0.0,0.0,64.86,0,0,0.03,0.09,-0.99,3.78,-4.13,-2.73,-77.73,78.11,-48.13,0.0,False,0.0,0.0,0.0,0.0
3784.0,3784.0,0.0,0.0,0.0,64.86,0,0,0.03,0.09,-0.99,3.78,-4.13,-2.73,-77.73,78.11,-48.13,0.0,False,0.0,0.0,0.0,0.0
3784.0,3784.0,0.0,0.0,0.0,64.86,0,0,0.03,0.09,-0.99,3.78,-4.13,-2.73,-77.73,78.11,-48.13,0.0,False,0.0,0.0,0.0,0.0
3806.0,3806.0,0.0,0.0,0.0,64.86,0,0,0.03,0.09,-0.99,3.78,-3.92,-2.59,-77.73,78.11,-48.13,0.0,False,0.0,0.0,0.0,0.0
3806.0,3806.0,0.0,0.0,0.0,64.86,0,0,0.03,0.09,-0.99,3.78,-3.92,-2.59,-77.73,78.11,-48.13,0.0,False,0.0,0.0,0.0,0.0
3806.0,3806.0,0.0,0.0,0.0,64.86,0,0,0.03,0.09,-0.99,3.78,-3.92,-2.59,-77.73,78.11,-48.13,0.0,False,0.0,0.0,0.0,0.0
3806.0,3806.0,0.0,0.0,0.0,64.86,0,0,0.03,0.09,-0.99,3.78,-3.92,-2.59,-77.73,78.11,-48.13,0.0,False,0.0,0.0,0.0,0.0
